task_run__calibration,task_run__created,task_run__external_uid,task_run__finish_time,task_run__id,task_run__info,task_run__project_id,task_run__task_id,task_run__timeout,task_run__user_id,task_run__user_ip
None,2018-05-10T15:30:43.826926,None,2018-05-10T15:32:19.023433,4125,Negativo,22,3846,None,14,None
None,2018-05-10T15:30:43.865597,None,2018-05-10T15:32:24.773272,4126,Neutro,22,3847,None,14,None
None,2018-05-10T15:32:19.191871,None,2018-05-10T15:32:30.389546,4127,Neutro,22,3848,None,14,None
None,2018-05-10T15:32:24.881479,None,2018-05-10T15:32:40.918707,4128,Positivo,22,3849,None,14,None
None,2018-05-10T15:32:30.485802,None,2018-05-10T15:32:45.772893,4129,Positivo,22,3850,None,14,None
None,2018-05-10T15:32:41.092750,None,2018-05-10T15:32:54.706852,4130,Neutro,22,3851,None,14,None
None,2018-05-10T15:32:46.106418,None,2018-05-10T15:33:19.227819,4131,Neutro,22,3852,None,14,None
None,2018-05-10T15:32:55.061951,None,2018-05-10T15:33:45.154776,4132,Negativo,22,3853,None,14,None
None,2018-05-10T15:33:19.576165,None,2018-05-10T15:33:58.952654,4133,Negativo,22,3854,None,14,None
None,2018-05-10T15:33:45.275384,None,2018-05-10T15:35:08.475322,4134,Negativo,22,3855,None,14,None
None,2018-05-10T15:33:59.281035,None,2018-05-10T15:35:32.648691,4135,Positivo,22,3856,None,14,None
None,2018-05-10T15:35:08.683972,None,2018-05-10T15:35:40.765106,4136,Negativo,22,3857,None,14,None
None,2018-05-10T15:35:32.753684,None,2018-05-10T15:35:47.407029,4137,Negativo,22,3858,None,14,None
None,2018-05-10T15:35:41.096183,None,2018-05-10T15:36:38.970299,4138,Positivo,22,3859,None,14,None
None,2018-05-10T15:35:47.534273,None,2018-05-10T15:36:59.840621,4139,Negativo,22,3860,None,14,None
None,2018-05-10T15:36:39.208505,None,2018-05-10T15:37:04.398776,4140,Neutro,22,3861,None,14,None
None,2018-05-10T15:36:59.930188,None,2018-05-10T15:37:19.169397,4141,Negativo,22,3862,None,14,None
None,2018-05-10T15:37:04.528885,None,2018-05-10T15:37:26.536505,4142,Negativo,22,3863,None,14,None
None,2018-05-10T15:37:19.301599,None,2018-05-10T15:37:33.269319,4143,Positivo,22,3864,None,14,None
