task__calibration,task__created,task__id,task__info,task__n_answers,task__priority_0,task__project_id,task__quorum,task__state,taskinfo__Tweet,taskinfo__id_str
0,2018-05-10T11:18:26.279279,3846,"{""Tweet"": ""@AS_Manolete Y con el atleti podemos so\u00f1ar otra vez? ese no lo has incluido en los miuras \ud83d\ude33\ud83d\ude33\ud83d\ude33\ud83d\ude33\ud83d\ude33\ud83d\ude33\ud83d\ude33\ud83d\ude33\ud83d\ude33\ud83d\ude33\ud83d\ude33\ud83d\ude33"", ""id_str"": ""9,71414330725069E+017""}",3,0.0,22,0,completed,@AS_Manolete Y con el atleti podemos soñar otra vez? ese no lo has incluido en los miuras 😳😳😳😳😳😳😳😳😳😳😳😳,"9,71414330725069E+017"
0,2018-05-10T11:18:26.397960,3847,"{""Tweet"": ""@eSports_Barca @MNDZPAU1 Md"", ""id_str"": ""9,71414177666478E+017""}",3,0.0,22,0,completed,@eSports_Barca @MNDZPAU1 Md,"9,71414177666478E+017"
0,2018-05-10T11:18:26.455296,3848,"{""Tweet"": ""Ahhhh claro que es del Atleti https://t.co/xm4PU8C9jl"", ""id_str"": ""9,71414161606501E+017""}",3,0.0,22,0,completed,Ahhhh claro que es del Atleti https://t.co/xm4PU8C9jl,"9,71414161606501E+017"
0,2018-05-10T11:18:26.510753,3849,"{""Tweet"": ""Que venga Arthur me tiene m\u00e1s emocionado que cualquier otro fichaje que llegue, m\u00e1s que Griezmann. Es perfecto para nuestro juego m\u00e1s las ganas que tiene de jugar ya en el Bar\u00e7a \ud83d\udd35\ud83d\udd34"", ""id_str"": ""9,71414116270305E+017""}",3,0.0,22,0,completed,"Que venga Arthur me tiene más emocionado que cualquier otro fichaje que llegue, más que Griezmann. Es perfecto para nuestro juego más las ganas que tiene de jugar ya en el Barça 🔵🔴","9,71414116270305E+017"
0,2018-05-10T11:18:26.568302,3850,"{""Tweet"": ""Me ha gustado un v\u00eddeo de @YouTube (https://t.co/f52V3WNuX5 - Noche de emociones en la remontada hist\u00f3rica del Bar\u00e7a)."", ""id_str"": ""9,7141400299889E+017""}",3,0.0,22,0,completed,Me ha gustado un vídeo de @YouTube (https://t.co/f52V3WNuX5 - Noche de emociones en la remontada histórica del Barça).,"9,7141400299889E+017"
0,2018-05-10T11:18:26.626538,3851,"{""Tweet"": ""La 'rajada' de un ex objetivo del Bar\u00e7a sobre Emery y el jeque https://t.co/8oXS0aprS7"", ""id_str"": ""9,71413947961299E+017""}",3,0.0,22,0,completed,La 'rajada' de un ex objetivo del Barça sobre Emery y el jeque https://t.co/8oXS0aprS7,"9,71413947961299E+017"
0,2018-05-10T11:18:26.684354,3852,"{""Tweet"": ""#Deportes \u27a1\ufe0f Hace 17 a\u00f1os, Messi por primera vez se puso la del Bar\u00e7a: El club blaugrana public\u00f3 un video muy especial para celebrar los primeros pasos de Lionel en la instituci\u00f3n catalana Hace 17 a\u00f1os, Lionel Messi comenzaba a hacer de\u2026 https://t.co/xFHPdToMsd \u2b05\ufe0f #Ent\u00e9rate https://t.co/kXksLJEK3i"", ""id_str"": ""9,71413939962528E+017""}",3,0.0,22,0,completed,"#Deportes ➡️ Hace 17 años, Messi por primera vez se puso la del Barça: El club blaugrana publicó un video muy especial para celebrar los primeros pasos de Lionel en la institución catalana Hace 17 años, Lionel Messi comenzaba a hacer de… https://t.co/xFHPdToMsd ⬅️ #Entérate https://t.co/kXksLJEK3i","9,71413939962528E+017"
0,2018-05-10T11:18:26.746974,3853,"{""Tweet"": ""@marcmarquez93 @3gerardpique @SergiRoberto10 @JordiAlba @miguelruizfcb @SChecoPerez @FCBarcelona Si pag\u00e1rais las deudas.....? Tendremos los Espa\u00f1oles aseguradas las pensiones. Viva Espa\u00f1a."", ""id_str"": ""9,71413833544815E+017""}",3,0.0,22,0,completed,@marcmarquez93 @3gerardpique @SergiRoberto10 @JordiAlba @miguelruizfcb @SChecoPerez @FCBarcelona Si pagárais las deudas.....? Tendremos los Españoles aseguradas las pensiones. Viva España.,"9,71413833544815E+017"
0,2018-05-10T11:18:26.805295,3854,"{""Tweet"": ""Gerard Piqu\u00e9 confirma la primera fuga sonada del Bar\u00e7a: est\u00e1 fuera https://t.co/coDRPeKc45"", ""id_str"": ""9,7141371484185E+017""}",3,0.0,22,0,completed,Gerard Piqué confirma la primera fuga sonada del Barça: está fuera https://t.co/coDRPeKc45,"9,7141371484185E+017"
0,2018-05-10T11:18:26.860740,3855,"{""Tweet"": ""Sin embargo el balance de Ligas va ser 3-1 para el Bar\u00e7a, el torneo de la regularidad donde pesa m\u00e1s la plantilla que en Champions\n\nPero para poder seguir con la cr\u00edtica, asumiendo el discurso de que solo cuenta la Champions\n\nPd: es s\u00faper responsable Paulinho de esos 4 a\u00f1os s\u00ed https://t.co/Bya3SxLjmj"", ""id_str"": ""9,71413713415746E+017""}",3,0.0,22,0,completed,"Sin embargo el balance de Ligas va ser 3-1 para el Barça, el torneo de la regularidad donde pesa más la plantilla que en Champions

Pero para poder seguir con la crítica, asumiendo el discurso de que solo cuenta la Champions

Pd: es súper responsable Paulinho de esos 4 años sí https://t.co/Bya3SxLjmj","9,71413713415746E+017"
